Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Туғрукдан кейин қон кетиш аниқланади,"0,5 % тана массасидан ортиқ қиндан қон кетиши",Туғруқдан кейин хоҳлаган миқдордан қиндан қон кетиши,Туғруқдан кейин тўсатдан қон кетиши,Туғруқдан кейин 300 мл дан ортиқ  қиндан қон кетиши,"0,5 % тана массасидан ортиқ қиндан қон кетиши",Туғрукдан кейин 250 мл дан ортиқ қиндан қон кетиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғрукдан кейинги  кечки қон кетишга характерли,Туғруқдан кейин 4 соат давомида қон кетади,Туғруқдан кейин 4 соат давомида қон кетади,Кўп ва турғун қон кетади,Кўкрак билан эмизишда қон кетиш кучаяди,Қон кетиш тўхтайди ва тўсатдан бошланади,Қон кетиш тўсатдан бошланади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейин узок давомли ёки тўсатдан қон кетиш,Кечиктириб бўлмайдиган ва актив ёндошувни талаб қилади,Даводан олдин 24 соат давомида кузатилади,500 мл дан ортиқ қон йўқотилгандан кейин даво бошланади,Кечиктириб бўлмайдиган ва актив ёндошувни талаб қилади,Бачадон қисқаришини стимулловчи  препаратлар талаб қилинмайди,Даводан олдин 12 соат давомида тўлиқ кузатилади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқнинг  III-даврини актив олиб боришда қўлланилади,Ҳамма туғруқларда,Агар аёлда туғрукдан кейин қон кетса,Фақат биринчи туғруқда,Фақат кўп туққанларда,Ёш ва ёши ўтган биринчи туғувчиларда,Ҳамма туғруқларда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Агар бўшашган бачадон, бачадон туби массажидан кейин ҳам қисқармаса кейинги босқич",Утеротоникларни юбориш,Утеротоникларни юбориш,Бачадонни бимануал босиш,Вена ичига суюклик қуйиш,Қорин пастига муз қуйиш,Йўлдошни қолиб кетган қисмларини аниқлаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Простагландин препаратлари юборилади:,Вена ичига,Қинга,Мушак ичига,Вена ичига,Оғиз орқали,Тўғри ичакка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Окситоцин юборилгандан кейин ва қиндикдан тракция қилингандан кейин ҳам 30 минут ичида йўлдош ажралмаса, бачадон эса қисқара бошласа",Йўлдошни қўл билан ажратиш,Киндик тракциясини активлигини ошириш,Киндик тракцияси ва бачадон тубини босиш,Йўлдошни қўл билан ажратиш,Метилэргометрин юбориш,Окситоцин юбориш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Йўлдошни қўл билан ажратишда,"Бир қўлингизни бачадонга, иккинчисини қорин олди деворига бачадон тубини контртракция қилиш учун қўйилади",Муолажадан олдин метилэргометрин қилинг,Муолажадан кейин 24 соат давомида антибиотик қилинг,Муолажадан кейин 48 соат давомида антибиотик қилинг,"Бир қўлингизни бачадонга қўйинг, иккинчи қўлингизни билан киндикдан тракция қилинг","Бир қўлингизни бачадонга, иккинчисини қорин олди деворига бачадон тубини контртракция қилиш учун қўйилади",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Йўлдошни тотал қаттик ёпишишига хос белгилар,Йўлдошнинг ажралиш белгиларининг йўқлиги,Қоринда оғриқ,Қон кетиш,"Ҳомила туғилгандан кейин, бачадон тубининг киндикдан юқори бўлиши",Йўлдошнинг ажралиш белгиларининг йўқлиги,Бачадонни ўнгга қийшайиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эрта туғруқдан кейинги даврда қон кетишда қон кетишига сабаб,Юқоридагиларнинг ҳаммаси,Туғруқ фаолиятининг сустлиги,Кўп сувлилик,Кўп ҳомилалик,Йирик ҳомила,Юқоридагиларнинг ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эрта туғруқдан кейинги даврда патологик қон кетишида биринчи навбатда,Бачадонни қўл билан текшириш,Аортани босиш,Утеротониклар юбориш,Параметрийга клеммалар қўйиш,Бачадонни қўл билан текшириш,Туғруқ йўлларини текшириш,624 НЖЙБК энг информатив диагностикаси,Ташқи акушерлик кўруви,Қин орқали кўрик,УТТ,Юрак фаолиятини баҳолаш,Қон ивиш системасини текшириш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқнинг III-даврида қон кетса ва йўлдошнинг ажралиш белгилари бўлмаса,Йўлдошни қўл билан ажратиш ва чикариш,Утеротониклар юбориш,Креде-Лазаревич методини қўлланг,Абуладзе усулини қўлланг,Йўлдошни қўл билан ажратиш ва чикариш,Қорин пастига муз қўйиш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғрукдан кейин бачадонни қўл билан текширишга кўрсатма( нотўғрисини топинг),Бачадон бўйни йиртилиши I-II степень,Патологик қон кетишда,Бачадонда чандиқ борлигида,Бачадон бўйни йиртилиши I-II степень,Йўлдош бутунлигига тахмин бўлганда,Бачадон ёрилишига шубҳа бўлганда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ИЖЙБКда асоратланади,,Кювелер бачадон,Ҳомиланинг интраннтал ўлими,ДВС-синдром ривожланиши,Геморрагик шок,Юқоридагиларнинг ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғувчи аёл туғруқнинг учинчи даврида, 8 минут олдин туғруқ содир бўлди, туғилди ҳомила вазни билан 3500г., тўсатдан жинсий йўллардан қон кетди.Қон йўқотиш 200мл га етди.Нима қилиш керак?",Йўлдошни ажралиш белгиларини аниқлаш,Утеротоникларни юбориш,Йўлдошни қўл билан ажратиш ва чиқариш,Йўлдошни ажралиш белгиларини аниқлаш,Ташқи усуллар билан йўлдошни ажратиш,Сийдик пуфагини катетерлаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғувчи аёл, 26 ёш, II чи туғруқ, биринчи ҳомиладорлик муддатдаги туғруқ  билан туғилган, туғруқдан кейин эндометрит ривожланган.Дардлари суст, қисқа. Жинсий йўллардан ўртача миқдордаги қон кетиш билан қабул қилинди, ҳомила боши чаноқ кириш қисми устида. Ички бўғиз соҳасида йўлдош қирралари аникланаяпти.Қоғонок парда бутун.Нима қилиш керак?",Кесарча  кесиш,Туғруқни консерватив давом эттириш керак,Амниотомия,Кесарча  кесиш,Амниотомия ва туғруқ фаолиятини томир ичига окситоцин юбориш билан кучайтириш,Тўғри жавоб йўк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тезкор бирламчи баҳолаш ўтказилади,"Шикоятидан қатъий назар, туғиш ёшидаги ҳамма аёлларга",Қоринда оғриқ ва қон кетишга шикоят қилган аёлларда,Қоринда оғриққа шикоят қилган аёлларга,Қон кетишга шикоят қилган аёлларга,"Шикоятидан қатъий назар, туғиш ёшидаги ҳамма аёлларга",Сув кетган аёлларга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейин бачадонни ташқарига буралиб чиқса,Ҳамма жавоб тўғри,Қорин олди деворидан бачадон туби пайпасланмайди,Қоринда суст ёки кучли оғриқ бўлиши мумкин,Бачадон қиндан чиқиб туради,Ҳамма жавоб тўғри,Тўғри жавоб йўк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадоннинг пастки кўндаланг чандиғида бачадонни ерилиш хавфи частотаси,1% дан кам,1%,1% дан кам,5%,5% дан кўп,"0,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Агар йулдошни қўл билан ажратишда, бачадондаги бармоклар учи йўлдошни бачадон деворидан ажрата олмаса",Йўлдошнинг ўсиб кириш эҳтимоли бор,Бачадон жойлашишининг ўзгариши эҳтимоли бор,Йўлдошнинг ўсиб кириш эҳтимоли бор,Йўлдошни ажралиш эҳтимоли бор,Бачадонни ёрилиш эҳтимоли бор,Йўлдошни олдинда жойлашиш эҳтимоли бор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейин бачадон бўйни кўригида,Бачадон бўйни қирралари ҳаммаси кўриниши керак,Бачадон бўйнини ушлаш учун ушлагичдан фойдаланилади,Бачадон бўйни қирралари ҳаммаси кўриниши керак,Аёлга седатив препарат таъсир  қилиши керак,Бачадон бўйни визуал кўриниши керак,Бачадон пастки сегменти эҳтиётлик билан кўриш керак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон бўйни  йиртилишини тиклаш,"Узлуксиз чок 0, кетгут билан юкориги бурчакдан","Тугунки чок 3-0, оралиғи 0.5 см","Тугунли чок 4-0, оралиғи 0.5 см","Тугунли чок 3-0, оралиғи 1,0 см","Узлуксиз чок 0, кетгут билан юкориги бурчакдан","Узлуксиз чок 0, кетгут билан пастки бурчакдан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қин девори (йиртилишида) ва оралиқ йиртилишида маҳаллий оғриқсизлантириш қўлланилади:,Хаммаси,қин шиллиқ қавати остига,оралиқ юзаки мушаклари остига,оралиқ чуқур мушаклари остига,Хаммаси,қуйидагиларнинг ҳеч қайсиси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III – даражали оралиқ йиртилишида:,профилактика мақсадида бир доза антибиотик per os,биринчи ҳафта давомида профилактика мақсадида антибиотик per os,биринчи ҳафта давомида профилактика мақсадида антибиотик мушак ичига,профилактика мақсадида бир доза антибиотик per os,антибиотик берилмайди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кечки туғруқдан кейинги қон кетищда бачадон кенгайган бўлса:,йўлдош қисми ва йирик қон лахталарини бачадондан тозалаш,йўлдош қисми ва йирик қон лахталарини бачадондан тозалаш,бачадон бўшлиғини қўл билан текшириш,"бачадон бўйнини кенгайтириб, бачадонни қириб тозалаш",тўғри жавоб йўк,утеротоник юбориш керак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Плацентани олдинда жойлашишига характерли белгилар:,жинсий йўллардан қонли ажралма,агар пальпацияда ҳомилани олдиндаги қисмини аниқлаб бўлмаса,жинсий йўллардан қонли ажралма,бачадон туби баландлиги ҳомиладорлик муддатига тўғри келмайди,вақтидан олдин сув кетиши,қоринда ўткир огриқ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Плацентани олдинда жойлашишига сабаб:,Эндометрийдаги яллигланиш жараёни,Эндометрийдаги яллигланиш жараёни,бачадон аномалияси,бачадон миомаси,эндометриоз,аборт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
